WijkBuurt;Regio;SoortRegio;RegioCode;Drank;Obesitas;Roker;LichGez;PsychGez;Eenzaam;GoedGez;SportBew;Mantelzorg
Waterlandpleinbuurt;Amsterdam;Wijk;WK036368;58;19;27;36;11;16;69;50;10
Baanakkerspark Noord;Amsterdam;Buurt;BU03636800;41;14;24;35;6;12;76;50;12
Baanakkerspark Zuid;Amsterdam;Buurt;BU03636801;37;13;23;36;5;11;77;53;14
Werengouw Midden;Amsterdam;Buurt;BU03636802;56;20;29;37;11;17;67;49;10
Markengouw Midden;Amsterdam;Buurt;BU03636803;64;20;28;34;13;17;68;50;10
Markengouw Zuid;Amsterdam;Buurt;BU03636804;62;20;27;33;12;18;69;50;10
Werengouw Zuid;Amsterdam;Buurt;BU03636805;59;19;24;36;11;16;68;51;12
Buikslotermeer;Amsterdam;Wijk;WK036369;53;18;27;39;11;16;66;46;10
Rode Kruisbuurt;Amsterdam;Buurt;BU03636900;40;12;21;37;6;9;77;56;16
Loenermark;Amsterdam;Buurt;BU03636902;50;18;26;41;9;15;65;45;10
Buikslotermeerplein;Amsterdam;Buurt;BU03636909;53;17;24;43;10;15;62;39;9
Plan van Gool;Amsterdam;Buurt;BU03636910;53;18;29;37;11;17;67;50;10
De Kleine Wereld;Amsterdam;Buurt;BU03636911;63;22;29;42;13;19;60;41;11
Buikslotermeer Noord;Amsterdam;Buurt;BU03636912;45;14;26;36;9;15;72;48;10
Banne Buiksloot;Amsterdam;Wijk;WK036370;56;19;27;38;11;16;67;47;11
Banne Zuidwest;Amsterdam;Buurt;BU03637000;61;20;27;39;13;17;64;45;10
Banne Zuidoost;Amsterdam;Buurt;BU03637001;50;17;27;37;10;15;69;48;11
Banne Noordwest;Amsterdam;Buurt;BU03637002;60;21;29;38;12;18;65;46;10
Banne Noordoost;Amsterdam;Buurt;BU03637003;57;20;26;39;11;16;66;46;12
Buiksloterbreek;Amsterdam;Buurt;BU03637004;34;11;18;30;3;7;83;58;15
Marjoleinterrein;Amsterdam;Buurt;BU03637005;47;15;28;29;9;14;76;56;9
Noordelijke IJ-oevers West;Amsterdam;Wijk;WK036371;29;9;28;25;7;11;84;63;9
Papaverweg e.o.;Amsterdam;Buurt;BU03637102;30;10;26;25;5;9;86;60;10
Cornelis Douwesterrein;Amsterdam;Buurt;BU03637104;57;17;43;34;19;33;62;56;9
NDSM terrein;Amsterdam;Buurt;BU03637105;28;6;38;19;13;19;84;68;3
Buiksloterham;Amsterdam;Buurt;BU03637106;31;9;35;26;8;15;81;61;6
Overhoeks;Amsterdam;Buurt;BU03637107;28;9;23;29;5;8;84;61;13
Noordelijke IJ-oevers Oost;Amsterdam;Wijk;WK036372;31;9;33;28;8;14;82;62;8
Bedrijventerrein Hamerstraat;Amsterdam;Buurt;BU03637200;32;9;34;28;8;14;82;62;8
Zamenhofstraat e.o.;Amsterdam;Buurt;BU03637201;.;.;.;.;.;.;.;.;.
Bedrijventerrein Nieuwendammerdijk;Amsterdam;Buurt;BU03637202;23;9;25;29;5;7;88;60;10
Waterland;Amsterdam;Wijk;WK036373;33;11;19;31;4;6;81;52;16
Schellingwoude West;Amsterdam;Buurt;BU03637300;26;10;18;28;4;6;84;60;16
Schellingwoude Oost;Amsterdam;Buurt;BU03637301;31;11;17;28;4;6;83;57;15
Schellingwoude Noord;Amsterdam;Buurt;BU03637302;.;.;.;.;.;.;.;.;.
Durgerdam;Amsterdam;Buurt;BU03637303;33;10;18;31;4;5;81;52;17
Zwarte Gouw;Amsterdam;Buurt;BU03637304;31;7;18;36;3;14;73;56;14
Ransdorp;Amsterdam;Buurt;BU03637305;37;10;17;31;3;6;81;50;17
Holysloot;Amsterdam;Buurt;BU03637306;35;10;19;32;3;5;81;50;17
Zunderdorp;Amsterdam;Buurt;BU03637307;33;12;21;33;5;7;79;50;15
Noorderstrook West;Amsterdam;Buurt;BU03637308;30;13;27;29;7;13;81;57;13
Noorderstrook Oost;Amsterdam;Buurt;BU03637309;.;.;.;.;.;.;.;.;.
Elzenhagen;Amsterdam;Wijk;WK036374;44;12;22;28;6;10;80;54;11
Nintemanterrein;Amsterdam;Buurt;BU03637400;35;10;17;31;2;5;84;60;18
Elzenhagen Zuid;Amsterdam;Buurt;BU03637401;44;14;33;33;12;16;72;52;9
Elzenhagen Noord;Amsterdam;Buurt;BU03637402;45;12;20;28;5;9;82;54;11
Chassébuurt;Amsterdam;Wijk;WK036375;40;13;32;32;10;13;74;60;9
Kortenaerkwartier;Amsterdam;Buurt;BU03637500;37;12;31;32;9;12;76;60;9
Filips van Almondekwartier;Amsterdam;Buurt;BU03637501;31;11;31;28;8;12;79;62;7
De Wester Quartier;Amsterdam;Buurt;BU03637502;44;14;33;33;11;14;72;59;8
Van Brakelkwartier;Amsterdam;Buurt;BU03637503;48;16;31;35;12;14;69;57;9
Slotermeer-Noordoost;Amsterdam;Wijk;WK036376;62;19;31;37;13;17;66;50;9
Buurt 3;Amsterdam;Buurt;BU03637600;60;18;30;37;13;17;67;50;9
Buurt 2;Amsterdam;Buurt;BU03637601;66;20;31;37;14;18;65;50;9
Slotermeer-Zuidwest;Amsterdam;Wijk;WK036377;62;18;30;38;13;17;66;49;9
Slotermeer Zuid;Amsterdam;Buurt;BU03637700;58;18;32;39;14;19;64;49;8
Noordoever Sloterplas;Amsterdam;Buurt;BU03637701;48;14;28;34;10;14;73;53;10
Buurt 4 Oost;Amsterdam;Buurt;BU03637702;59;19;30;37;11;15;69;50;10
Buurt 5 Noord;Amsterdam;Buurt;BU03637703;74;22;31;39;17;19;61;47;9
Sloterpark;Amsterdam;Buurt;BU03637704;.;.;.;.;.;.;.;.;.
Buurt 5 Zuid;Amsterdam;Buurt;BU03637705;67;19;30;39;15;18;63;48;9
Geuzenveld;Amsterdam;Wijk;WK036378;65;19;30;37;13;17;67;48;9
Buurt 6;Amsterdam;Buurt;BU03637800;67;20;31;39;15;19;63;47;9
Buurt 7;Amsterdam;Buurt;BU03637801;63;19;27;36;10;14;70;47;10
Buurt 8;Amsterdam;Buurt;BU03637802;63;18;31;34;13;17;70;50;8
Buurt 9;Amsterdam;Buurt;BU03637803;68;20;29;38;13;17;65;47;9
Eendrachtspark;Amsterdam;Buurt;BU03637804;50;14;29;29;6;13;80;54;11
Eendracht;Amsterdam;Wijk;WK036379;53;16;23;34;7;12;75;50;12
Osdorper Binnenpolder;Amsterdam;Buurt;BU03637900;48;10;13;27;4;10;80;53;12
Buurt 10;Amsterdam;Buurt;BU03637901;53;17;23;34;7;12;75;50;12
Lutkemeer/Ookmeer;Amsterdam;Wijk;WK036380;38;14;21;33;6;9;77;52;14
Ookmeer;Amsterdam;Buurt;BU03638000;.;.;.;.;.;.;.;.;.
Osdorper Bovenpolder;Amsterdam;Buurt;BU03638001;38;14;21;33;6;9;77;52;14
Bedrijvenpark Lutkemeer;Amsterdam;Buurt;BU03638002;33;14;21;32;4;8;81;52;12
Osdorp-Oost;Amsterdam;Wijk;WK036381;56;16;26;39;11;16;66;47;10
Wildeman;Amsterdam;Buurt;BU03638100;66;20;27;44;14;19;58;42;9
Meer en Oever;Amsterdam;Buurt;BU03638101;51;14;24;35;8;13;73;50;10
Osdorpplein e.o.;Amsterdam;Buurt;BU03638102;58;16;27;36;11;15;68;50;9
Calandlaan/Lelylaan;Amsterdam;Buurt;BU03638103;53;17;29;42;11;16;65;48;11
Osdorp Zuidoost;Amsterdam;Buurt;BU03638104;46;14;27;38;9;14;70;50;10
Osdorp-Midden;Amsterdam;Wijk;WK036382;62;18;28;36;12;16;67;49;9
Osdorp Midden Noord;Amsterdam;Buurt;BU03638200;72;21;26;42;15;19;58;42;8
Osdorp Midden Zuid;Amsterdam;Buurt;BU03638201;63;19;28;38;13;17;65;48;9
Zuidwestkwadrant Osdorp Noord;Amsterdam;Buurt;BU03638202;63;18;29;37;13;15;67;49;8
Zuidwestkwadrant Osdorp Zuid;Amsterdam;Buurt;BU03638203;56;15;29;32;10;14;73;53;9
De Punt;Amsterdam;Wijk;WK036383;55;17;30;36;10;15;69;49;9
De Punt;Amsterdam;Buurt;BU03638300;55;17;29;35;10;15;70;49;9
Bedrijvencentrum Osdorp;Amsterdam;Buurt;BU03638301;52;21;45;54;18;32;45;41;10
Middelveldsche Akerpolder;Amsterdam;Wijk;WK036384;50;16;23;34;7;11;74;51;12
Middelveldsche Akerpolder;Amsterdam;Buurt;BU03638400;53;18;25;37;8;12;70;47;12
De Aker West;Amsterdam;Buurt;BU03638401;50;15;21;33;7;11;76;51;13
De Aker Oost;Amsterdam;Buurt;BU03638402;50;15;23;32;7;10;76;53;12
Slotervaart Noord;Amsterdam;Wijk;WK036385;54;15;26;37;10;15;69;50;10
Oostoever Sloterplas;Amsterdam;Buurt;BU03638500;45;12;20;36;6;10;74;52;12
Emanuel van Meterenbuurt;Amsterdam;Buurt;BU03638501;53;14;24;38;10;14;69;48;10
Jacob Geelbuurt;Amsterdam;Buurt;BU03638502;63;17;32;37;14;19;65;50;8
Overtoomse Veld;Amsterdam;Wijk;WK036386;53;14;30;32;12;15;71;55;7
Overtoomse Veld Noord;Amsterdam;Buurt;BU03638600;63;17;29;35;14;15;67;52;8
Overtoomse Veld Zuid;Amsterdam;Buurt;BU03638601;53;14;28;34;11;15;70;53;8
Rembrandtpark Noord;Amsterdam;Buurt;BU03638602;26;6;36;23;8;14;83;65;5
Rembrandtpark Zuid;Amsterdam;Buurt;BU03638603;27;8;29;25;6;10;84;60;7
Johan Jongkindbuurt;Amsterdam;Buurt;BU03638604;73;20;28;44;16;19;55;42;8
Lucas/Andreasziekenhuis e.o.;Amsterdam;Buurt;BU03638605;32;4;43;18;10;24;85;74;3
Westlandgracht;Amsterdam;Wijk;WK036387;41;10;30;29;10;15;77;59;7
Koningin Wilhelminaplein;Amsterdam;Buurt;BU03638700;29;7;27;24;5;10;86;62;7
Andreasterrein;Amsterdam;Buurt;BU03638701;42;11;25;31;8;11;76;57;9
Delflandpleinbuurt Oost;Amsterdam;Buurt;BU03638702;48;13;35;35;14;19;68;57;8
Delflandpleinbuurt West;Amsterdam;Buurt;BU03638703;46;13;30;33;11;15;72;56;7
Riekerhaven;Amsterdam;Buurt;BU03638704;44;5;37;18;14;27;84;70;4
Schipluidenbuurt;Amsterdam;Buurt;BU03638705;11;5;40;20;4;8;91;64;4
Sloter-/Riekerpolder;Amsterdam;Wijk;WK036388;44;13;22;34;6;10;76;52;13
Riekerpolder;Amsterdam;Buurt;BU03638800;43;10;32;22;9;24;80;59;6
Park Haagseweg;Amsterdam;Buurt;BU03638801;37;11;17;32;4;8;82;56;15
Nieuwe Meer;Amsterdam;Buurt;BU03638802;34;15;29;32;8;13;76;50;12
Sloterweg e.o.;Amsterdam;Buurt;BU03638803;37;10;17;30;5;9;81;54;14
Nieuw Sloten Noordwest;Amsterdam;Buurt;BU03638804;48;14;23;35;7;11;75;52;12
Nieuw Sloten Noordoost;Amsterdam;Buurt;BU03638805;45;14;23;36;7;10;75;51;13
Belgiëplein e.o.;Amsterdam;Buurt;BU03638806;49;14;21;40;7;13;69;45;11
Nieuw Sloten Zuidwest;Amsterdam;Buurt;BU03638807;41;11;20;30;4;8;82;56;14
Nieuw Sloten Zuidoost;Amsterdam;Buurt;BU03638808;47;13;25;32;7;12;77;51;11
Dorp Sloten;Amsterdam;Buurt;BU03638809;37;13;20;35;4;8;78;53;15
Slotervaart Zuid;Amsterdam;Wijk;WK036389;53;15;28;36;12;16;68;51;8
Louis Crispijnbuurt;Amsterdam;Buurt;BU03638900;55;16;27;39;11;16;66;48;9
Jacques Veldmanbuurt;Amsterdam;Buurt;BU03638901;48;13;28;34;10;15;72;54;8
Staalmanbuurt;Amsterdam;Buurt;BU03638902;64;18;26;39;14;17;63;49;8
Medisch Centrum Slotervaart;Amsterdam;Buurt;BU03638903;38;8;35;26;12;17;78;59;5
Buitenveldert-West;Amsterdam;Wijk;WK036390;40;11;22;34;6;12;76;52;10
Gelderlandpleinbuurt;Amsterdam;Buurt;BU03639000;39;11;23;34;6;12;75;52;9
Buitenveldert Midden Zuid;Amsterdam;Buurt;BU03639002;37;10;25;31;6;11;80;56;9
Buitenveldert Zuidwest;Amsterdam;Buurt;BU03639003;44;12;20;37;6;12;73;47;11
Amsterdamse Bos;Amsterdam;Buurt;BU03639004;29;11;21;29;4;9;82;53;13
Buitenveldert West Midden;Amsterdam;Buurt;BU03639008;40;10;17;36;5;10;76;50;12
Zuiderhof;Amsterdam;Buurt;BU03639009;.;.;.;.;.;.;.;.;.
Buitenveldert-Oost;Amsterdam;Wijk;WK036391;44;11;22;37;7;13;72;50;10
De Klenckebuurt;Amsterdam;Buurt;BU03639100;47;11;17;42;7;11;68;44;11
Buitenveldert Oost Midden;Amsterdam;Buurt;BU03639101;45;12;22;39;7;14;70;48;11
Buitenveldert Zuidoost;Amsterdam;Buurt;BU03639102;42;10;22;34;7;13;75;53;10
Amstelpark;Amsterdam;Buurt;BU03639103;40;10;23;27;5;11;82;56;11
Amstel III/Bullewijk;Amsterdam;Wijk;WK036392;34;7;33;22;11;20;82;64;4
Hoofdcentrum Zuidoost;Amsterdam;Buurt;BU03639200;36;8;30;21;6;19;87;63;6
Amstel III deel A/B Noord;Amsterdam;Buurt;BU03639201;44;9;34;19;9;26;84;62;4
Amstel III deel C/D Noord;Amsterdam;Buurt;BU03639202;32;8;40;20;8;21;84;64;4
Amstel III deel A/B Zuid;Amsterdam;Buurt;BU03639203;30;6;32;20;13;18;84;67;3
Amstel III deel C/D Zuid;Amsterdam;Buurt;BU03639204;.;.;.;.;.;.;.;.;.
AMC;Amsterdam;Buurt;BU03639205;47;15;40;41;22;29;58;50;7
Hoge Dijk;Amsterdam;Buurt;BU03639206;32;10;25;27;6;11;81;54;11
Bijlmer Centrum (D,F,H);Amsterdam;Wijk;WK036393;53;17;31;34;13;20;68;51;7
Venserpolder West;Amsterdam;Buurt;BU03639300;55;18;31;38;13;21;64;47;8
Venserpolder Oost;Amsterdam;Buurt;BU03639301;51;17;32;34;12;19;69;50;7
D-buurt;Amsterdam;Buurt;BU03639302;37;9;39;23;15;21;78;64;4
F-buurt;Amsterdam;Buurt;BU03639303;51;18;29;31;11;15;72;52;8
Amsterdamse Poort;Amsterdam;Buurt;BU03639304;54;18;35;38;15;24;62;50;7
Hoptille;Amsterdam;Buurt;BU03639305;54;16;30;32;13;23;70;53;7
Rechte H-buurt;Amsterdam;Buurt;BU03639306;61;19;30;38;14;23;63;47;8
Hakfort/Huigenbos;Amsterdam;Buurt;BU03639307;58;18;30;34;14;23;66;49;7
Huntum;Amsterdam;Buurt;BU03639308;42;11;17;34;4;9;81;54;12
Vogeltjeswei;Amsterdam;Buurt;BU03639309;52;18;27;35;9;14;70;50;9
Nelson Mandelapark;Amsterdam;Buurt;BU03639310;.;.;.;.;.;.;.;.;.
Bijlmer Oost (E,G,K);Amsterdam;Wijk;WK036394;54;19;28;36;12;18;67;47;8
E-buurt;Amsterdam;Buurt;BU03639400;46;15;30;27;10;14;78;56;7
G-buurt West;Amsterdam;Buurt;BU03639401;52;19;28;33;10;16;71;49;8
Bijlmermuseum Noord;Amsterdam;Buurt;BU03639402;63;24;29;44;16;22;55;42;8
Kortvoort;Amsterdam;Buurt;BU03639403;58;22;31;42;15;21;58;43;8
Kelbergen;Amsterdam;Buurt;BU03639404;56;21;27;39;10;16;66;45;10
K-buurt Midden;Amsterdam;Buurt;BU03639405;58;19;31;35;15;23;65;47;7
K-buurt Zuidoost;Amsterdam;Buurt;BU03639406;57;17;24;27;9;17;76;51;7
K-buurt Zuidwest;Amsterdam;Buurt;BU03639407;58;20;26;33;11;16;71;49;8
Grunder/Koningshoef;Amsterdam;Buurt;BU03639408;55;20;29;33;11;16;71;49;8
G-buurt Oost;Amsterdam;Buurt;BU03639409;43;14;22;37;7;13;73;48;11
Kantershof;Amsterdam;Buurt;BU03639410;53;19;23;40;10;17;66;44;10
Gooisekant;Amsterdam;Buurt;BU03639411;50;13;25;24;8;10;83;46;8
G-buurt Noord;Amsterdam;Buurt;BU03639412;60;22;35;42;18;26;55;43;8
Bijlmermuseum Zuid;Amsterdam;Buurt;BU03639413;53;19;31;34;14;20;67;50;7
Nellestein;Amsterdam;Wijk;WK036395;45;16;23;36;8;14;73;47;10
L-buurt;Amsterdam;Buurt;BU03639500;45;16;23;36;8;14;72;47;10
Gaasperpark;Amsterdam;Buurt;BU03639501;32;16;25;36;7;10;73;50;15
Gaasperplas;Amsterdam;Buurt;BU03639502;31;12;19;34;4;7;79;49;14
Holendrecht/Reigersbos;Amsterdam;Wijk;WK036396;55;19;26;39;11;17;66;45;10
Holendrecht West;Amsterdam;Buurt;BU03639600;63;23;28;45;15;22;55;40;9
Reigersbos Noord;Amsterdam;Buurt;BU03639601;62;21;28;40;14;21;61;44;9
Holendrecht Oost;Amsterdam;Buurt;BU03639602;46;16;22;38;6;11;73;49;12
Gaasperdam Noord;Amsterdam;Buurt;BU03639603;53;19;30;37;12;18;67;47;9
Gaasperdam Zuid;Amsterdam;Buurt;BU03639604;52;19;28;38;11;18;66;46;9
Reigersbos Midden;Amsterdam;Buurt;BU03639605;55;19;25;38;10;17;67;45;10
Reigersbos Zuid;Amsterdam;Buurt;BU03639606;50;17;23;37;9;14;72;48;12
Gein;Amsterdam;Wijk;WK036397;49;18;24;36;9;15;71;49;11
Gein Noordwest;Amsterdam;Buurt;BU03639700;55;20;28;39;12;20;64;45;9
Gein Zuidwest;Amsterdam;Buurt;BU03639701;58;21;28;37;13;21;66;47;8
Gein Noordoost;Amsterdam;Buurt;BU03639702;39;14;18;31;4;9;81;54;13
Gein Zuidoost;Amsterdam;Buurt;BU03639703;51;19;24;37;9;15;69;47;11
Driemond;Amsterdam;Wijk;WK036398;34;14;20;32;5;7;78;50;14
Dorp Driemond;Amsterdam;Buurt;BU03639800;34;14;20;32;5;7;78;49;14
Landelijk gebied Driemond;Amsterdam;Buurt;BU03639801;29;10;16;27;3;5;85;56;18
"Bron: SMAP-data RIVM i.s.m. GGD'en; gebaseerd op de Gezondheidsmonitor Volwassenen en Ouderen 2016 van GGD'en, CBS en RIVM";;;;;;;;;;;;
